carall;4;3;5;3;4;3;2
lonhug;4;4;3;1;0;3;4
camrog;0;3;1;2;1;1;1
julbai;0;3;1;0;4;5;1
alehar;0;1;1;1;5;3;5
emmbar;2;3;1;2;1;1;1
tripow;4;5;1;5;0;2;1
isaeva;4;3;5;0;5;1;0
carsmi;1;0;1;1;0;4;2
aalper;3;5;0;1;0;1;1
gencam;4;2;1;0;2;3;4
samall;2;4;0;2;3;4;4
hayhil;1;4;1;3;2;1;5
peywat;3;0;1;4;5;1;3
jaylew;2;1;5;2;0;0;1
briflo;5;4;4;5;4;3;5
logpat;3;1;1;2;3;4;4
logrob;2;0;5;0;0;0;1
kenmor;2;5;0;4;5;1;1
noajoh;2;0;4;0;4;0;2
brotay;0;2;1;2;0;4;4
jadfos;5;4;5;3;4;3;2
alecar;4;2;0;0;1;1;1
jossan;0;2;0;5;1;4;5
chlwas;3;1;4;5;1;1;0
lydmoo;0;2;1;5;4;3;0
sydcar;3;4;2;4;1;3;0
camjac;3;1;4;5;2;3;5
sopram;4;0;2;2;5;0;4
jayflo;4;4;4;0;3;0;2
alemoo;4;3;3;0;0;1;4
brodia;3;2;0;1;3;0;1
liahil;3;4;5;0;4;1;1
chlbro;5;2;2;5;0;5;3
sarcar;5;4;1;1;4;2;4
caljac;0;2;0;4;2;2;5
serbai;2;1;5;1;1;0;4
aarflo;3;2;3;0;1;5;5
abimit;2;0;4;1;1;4;0
aarwri;3;2;2;1;1;5;1
autgri;4;5;5;3;0;4;1
kayram;2;0;3;5;1;0;2
masgra;5;5;4;0;3;2;5
jachen;3;3;3;0;4;3;5
haryou;3;0;0;3;2;0;5
natall;0;0;2;3;0;0;5
chrpet;4;2;0;1;4;1;0
alehen;0;0;4;0;0;4;0
savpri;2;4;0;1;2;1;2
iantay;3;3;3;1;0;4;0
nevwat;5;4;2;4;1;5;4
maxste;1;5;0;1;2;4;4
natwat;5;1;0;2;5;5;4
makric;1;2;1;4;5;0;0
brymor;5;0;4;1;1;4;0
ameste;2;3;0;0;4;2;5
madcox;2;1;0;4;1;0;1
jascox;2;2;5;1;5;1;1
domher;3;2;3;3;5;2;4
matwri;2;2;0;1;1;4;1
josher;4;5;5;2;1;3;2
julgri;5;5;4;3;3;4;0
henmor;4;1;5;1;3;5;4
natcam;3;4;4;5;0;5;4
dylhow;2;5;3;5;4;1;1
molpet;0;3;5;2;5;3;4
amemar;0;5;0;2;3;2;3
broben;3;2;2;0;2;3;4
nevale;5;0;4;4;0;3;3
lilcol;4;2;1;3;2;4;1
